Date,Crown Temperature,Latitude,Longitude,,# Data cannot have gaps
1990-09-27,8.4,50.083333,14.416667,,# Header names can be anything
1990-09-28,9.3,,,,# Date should be YYYY-MM-DD
1990-09-29,11.4,,,,# Only first four columns are read
1990-09-30,13,,,,# First date should correspond to optimal seeding date
1990-10-01,12.9,,,,
1990-10-02,10.7,,,,
1990-10-03,10.9,,,,
1990-10-04,9.2,,,,
1990-10-05,8.2,,,,
1990-10-06,10.1,,,,
1990-10-07,11.4,,,,
1990-10-08,8.5,,,,
1990-10-09,8.2,,,,
1990-10-10,8.1,,,,
1990-10-11,8.9,,,,
1990-10-12,9.3,,,,
1990-10-13,9.8,,,,
1990-10-14,10.8,,,,
1990-10-15,11,,,,
1990-10-16,10.5,,,,
1990-10-17,10.2,,,,
1990-10-18,10.6,,,,
1990-10-19,9.5,,,,
1990-10-20,9.1,,,,
1990-10-21,6.3,,,,
1990-10-22,5.8,,,,
1990-10-23,6.4,,,,
1990-10-24,6.9,,,,
1990-10-25,6.1,,,,
1990-10-26,2.5,,,,
1990-10-27,2.6,,,,
1990-10-28,5.7,,,,
1990-10-29,4.2,,,,
1990-10-30,3.5,,,,
1990-10-31,3.4,,,,
1990-11-01,4.4,,,,
1990-11-02,3.5,,,,
1990-11-03,3.3,,,,
1990-11-04,2,,,,
1990-11-05,0.8,,,,
1990-11-06,0,,,,
1990-11-07,0.7,,,,
1990-11-08,1.4,,,,
1990-11-09,2.4,,,,
1990-11-10,-0.6,,,,
1990-11-11,1.1,,,,
1990-11-12,3.3,,,,
1990-11-13,4.3,,,,
1990-11-14,2.8,,,,
1990-11-15,4.8,,,,
1990-11-16,3.5,,,,
1990-11-17,5.6,,,,
1990-11-18,4.1,,,,
1990-11-19,0.9,,,,
1990-11-20,1.7,,,,
1990-11-21,2.6,,,,
1990-11-22,1.2,,,,
1990-11-23,1.4,,,,
1990-11-24,0,,,,
1990-11-25,-0.2,,,,
1990-11-26,1.5,,,,
1990-11-27,-0.5,,,,
1990-11-28,-0.2,,,,
1990-11-29,0.2,,,,
1990-11-30,-0.4,,,,
1990-12-01,-1.4,,,,
1990-12-02,-1.7,,,,
1990-12-03,-1.9,,,,
1990-12-04,-1.8,,,,
1990-12-05,-1.6,,,,
1990-12-06,-1.5,,,,
1990-12-07,-1.9,,,,
1990-12-08,-2.1,,,,
1990-12-09,-2.1,,,,
1990-12-10,-1.9,,,,
1990-12-11,-1.1,,,,
1990-12-12,-1.4,,,,
1990-12-13,-1.5,,,,
1990-12-14,-1.5,,,,
1990-12-15,-1.5,,,,
1990-12-16,-1.1,,,,
1990-12-17,0.6,,,,
1990-12-18,-1.4,,,,
1990-12-19,-1.5,,,,
1990-12-20,-1.5,,,,
1990-12-21,-1.5,,,,
1990-12-22,-1.4,,,,
1990-12-23,0,,,,
1990-12-24,-1.6,,,,
1990-12-25,-3.3,,,,
1990-12-26,-3.3,,,,
1990-12-27,-2.4,,,,
1990-12-28,-1.8,,,,
1990-12-29,-2.6,,,,
1990-12-30,0.7,,,,
1990-12-31,1.3,,,,
1991-01-01,0.4,,,,
1991-01-02,0.5,,,,
1991-01-03,3.4,,,,
1991-01-04,3.1,,,,
1991-01-05,0.5,,,,
1991-01-06,0,,,,
1991-01-07,0,,,,
1991-01-08,0.7,,,,
1991-01-09,1,,,,
1991-01-10,3,,,,
1991-01-11,4,,,,
1991-01-12,2,,,,
1991-01-13,-0.2,,,,
1991-01-14,1.8,,,,
1991-01-15,-3.9,,,,
1991-01-16,-4.5,,,,
1991-01-17,-5.5,,,,
1991-01-18,-5.9,,,,
1991-01-19,-6.1,,,,
1991-01-20,-6.5,,,,
1991-01-21,-4,,,,
1991-01-22,-2.7,,,,
1991-01-23,-2.4,,,,
1991-01-24,-2.5,,,,
1991-01-25,-2.5,,,,
1991-01-26,-3.6,,,,
1991-01-27,-2.8,,,,
1991-01-28,-2.5,,,,
1991-01-29,-2.8,,,,
1991-01-30,-3.3,,,,
1991-01-31,-5.7,,,,
1991-02-01,-7,,,,
1991-02-02,-7.4,,,,
1991-02-03,-7.5,,,,
1991-02-04,-7.4,,,,
1991-02-05,-6.4,,,,
1991-02-06,-8.8,,,,
1991-02-07,-6.8,,,,
1991-02-08,-5.2,,,,
1991-02-09,-4.3,,,,
1991-02-10,-4.2,,,,
1991-02-11,-3.5,,,,
1991-02-12,-4.3,,,,
1991-02-13,-3.9,,,,
1991-02-14,-3.7,,,,
1991-02-15,-4,,,,
1991-02-16,-3.5,,,,
1991-02-17,-3.8,,,,
1991-02-18,-4,,,,
1991-02-19,-3,,,,
1991-02-20,-3.3,,,,
1991-02-21,-3.2,,,,
1991-02-22,-3.2,,,,
1991-02-23,-1.4,,,,
1991-02-24,-0.3,,,,
1991-02-25,-0.2,,,,
1991-02-26,-0.2,,,,
1991-02-27,-2,,,,
1991-02-28,-2,,,,
1991-03-01,-2.2,,,,
1991-03-02,-2.2,,,,
1991-03-03,-1.5,,,,
1991-03-04,0.1,,,,
1991-03-05,-0.7,,,,
1991-03-06,0.2,,,,
1991-03-07,0.7,,,,
1991-03-08,2.8,,,,
1991-03-09,2.9,,,,
1991-03-10,3.8,,,,
1991-03-11,4.4,,,,
1991-03-12,4.3,,,,
1991-03-13,4.5,,,,
1991-03-14,3.9,,,,
1991-03-15,5.4,,,,
1991-03-16,6.7,,,,
1991-03-17,5.6,,,,
1991-03-18,6,,,,
1991-03-19,6.3,,,,
1991-03-20,6.9,,,,
1991-03-21,8,,,,
1991-03-22,5.9,,,,
1991-03-23,5.4,,,,
1991-03-24,5.8,,,,
1991-03-25,3.9,,,,
1991-03-26,1.6,,,,
1991-03-27,0.7,,,,
1991-03-28,0.2,,,,
1991-03-29,0,,,,
1991-03-30,2.2,,,,
1991-03-31,1,,,,
1991-04-01,4.3,,,,
1991-04-02,6.4,,,,
1991-04-03,8.3,,,,
1991-04-04,8.6,,,,
1991-04-05,7.8,,,,
1991-04-06,6.3,,,,
1991-04-07,6.6,,,,
1991-04-08,7.3,,,,
1991-04-09,6.6,,,,
1991-04-10,6.3,,,,
1991-04-11,7.9,,,,
1991-04-12,9,,,,
1991-04-13,10.3,,,,
1991-04-14,10.7,,,,
1991-04-15,7.4,,,,
1991-04-16,5.8,,,,
1991-04-17,4.7,,,,
1991-04-18,4,,,,
1991-04-19,1.5,,,,
1991-04-20,2.9,,,,
1991-04-21,3.9,,,,
1991-04-22,4.7,,,,
1991-04-23,5,,,,
1991-04-24,4.9,,,,
1991-04-25,5.9,,,,
1991-04-26,8.6,,,,
1991-04-27,9.9,,,,
1991-04-28,9,,,,
1991-04-29,6.4,,,,
1991-04-30,8.8,,,,
