"","time","LT50raw","minLT50","dehardAmt","dehardAmtStress","mflnFraction","photoReqFraction","accAmt","vernDays","vernSaturation.vernReq","respiration","mfln.mflnFraction","temperature","daylength"
"1",1,-3,-3,0,0,0,0,0,0,0,0,0,12.9,13.0544729675187
"2",2,-3.1316532,-3,0,0,0.0171122983302376,0.011783513560152,0.1316532,1,0.0204081632653061,0,0.0171122983302376,14.2,13.0049660632345
"3",3,-1.35676664503095,-3.1316532,-1.77488655496905,0,0.0348600709847695,0.0208894732583204,0.1316532,2,0.0408163265306122,0,0.0348600709847695,15.2,12.9553131345908
"4",4,-1.35676664503095,-3.1316532,-1.77488655496905,0,0.0530487991427396,0.0281001267661411,0.1316532,3,0.0612244897959184,0,0.0530487991427396,14.1,12.9055216355456
"5",5,-1.35676664503095,-3.1316532,-1.77488655496905,0,0.0707503094958634,0.0371020221769386,0.1316532,4,0.0816326530612245,0,0.0707503094958634,13.3,12.8555987928973
"6",6,-1.37081984503095,-3.1316532,-1.77488655496905,0,0.0880662907404424,0.0474766405283114,0.145706399999999,5,0.102040816326531,0,0.0880662907404424,11.9,12.8055516181389
"7",7,-1.79647304503095,-3.1316532,-1.77488655496905,0,0.104634065888724,0.0604812412613593,0.571359599999999,6,0.122448979591837,0,0.104634065888724,11.5,12.7553869198428
"8",8,-2.33972624503095,-3.1316532,-1.77488655496905,0,0.120968620289182,0.0741273693874059,1.1146128,7,0.142857142857143,0,0.120968620289182,12,12.7051113219394
"9",9,-2.73597944503095,-3.1316532,-1.77488655496905,0,0.137593263552045,0.0866152325553288,1.510866,8,0.163265306122449,0,0.137593263552045,11.5,12.6547312504053
"10",10,-3.27923264503095,-3.1316532,-1.77488655496905,0,0.153927817952503,0.0999462957304642,2.0541192,9,0.183673469387755,0,0.153927817952503,10.9,12.6042529935969
"11",11,-3.98931676567185,-3.27923264503095,-1.77488655496905,0,0.169894307659684,0.114309347935661,2.7642033206409,10,0.204081632653061,0,0.169894307659684,12.3,12.553682674302
"12",12,-4.28285748017286,-3.98931676567185,-1.77488655496905,0,0.186686240323761,0.125721097874985,3.05774403514191,11,0.224489795918367,0,0.186686240323761,10.7,12.5030262769593
"13",13,-5.01375617966884,-4.28285748017286,-1.77488655496905,0,0.202524872197542,0.140164625571156,3.78864273463789,12,0.244897959183673,0,0.202524872197542,8.9,12.4522896613677
"14",14,-6.1960143933658,-5.01375617966884,-1.77488655496905,0,0.217078870638792,0.157761067374603,4.97090094833485,13,0.26530612244898,0,0.217078870638792,8.8,12.4014785754681
"15",15,-7.32957991375172,-6.1960143933658,-1.77488655496905,0,0.231553564268743,0.175391290399309,6.10446646872076,14,0.285714285714286,0,0.231553564268743,10.1,12.3505986681912
"16",16,-8.08757057873736,-7.32957991375172,-1.77488655496905,0,0.246991932925369,0.190533855812088,6.86245713370641,15,0.306122448979592,0,0.246991932925369,10.5,12.2996555030346
"17",17,-8.72198640981956,-8.08757057873736,-1.77488655496905,0,0.262699984573443,0.204743133400193,7.49687296478861,16,0.326530612244898,0,0.262699984573443,10.5,12.2486545717716
"18",18,-9.33110858924918,-8.72198640981956,-1.77488655496905,0,0.278408036221517,0.218794493175953,8.10599514421823,17,0.346938775510204,0,0.278408036221517,11.7,12.1976013081604
"19",19,-9.66950817898208,-9.33110858924918,-1.77488655496905,0,0.294860367910648,0.23028776002394,8.44439473395112,18,0.36734693877551,0,0.294860367910648,11.2,12.1465011014541
"20",20,-10.1004146036466,-9.66950817898208,-1.77488655496905,0,0.311013723251005,0.242621010885789,8.87530115861568,19,0.387755102040816,0,0.311013723251005,10.5,12.095359310574
"21",21,-10.6545799537309,-10.1004146036466,-1.77488655496905,0,0.326721774899079,0.256194876600302,9.42946650869997,20,0.408163265306122,0,0.326721774899079,9.4,12.0441812779506
"22",22,-11.3921706433522,-10.6545799537309,-1.77488655496905,0,0.341658845339125,0.271753712206473,10.1670571983212,21,0.428571428571429,0,0.341658845339125,8.9,11.9929723434978
"23",23,-12.1772500911271,-11.3921706433522,-1.77488655496905,0,0.356212843780375,0.288089968719511,10.9521366460962,22,0.448979591836735,0,0.356212843780375,8.7,11.9417378623618
"24",24,-12.9465469694976,-12.1772500911271,-1.77488655496905,0,0.370607298837743,0.304642196190815,11.7214335244666,23,0.469387755102041,0,0.370607298837743,10.7,11.8904832024044
"25",25,-13.3562896305759,-12.9465469694976,-1.77488655496905,0,0.386445930711524,0.317172105721309,12.1311761855449,24,0.489795918367347,0,0.386445930711524,10.5,11.8392137916883
"26",26,-13.7806458480365,-13.3562896305759,-1.77488655496905,0,0.402153982359598,0.329941724840504,12.5555324030056,25,0.510204081632653,0,0.402153982359598,9.3,11.7879350998667
"27",27,-14.359768472345,-13.7806458480365,-1.77488655496905,0,0.41701618101254,0.344923936674785,13.134655027314,26,0.530612244897959,0,0.41701618101254,7.9,11.736652669443
"28",28,-15.095021218774,-14.359768472345,-1.77488655496905,0,0.430733035275998,0.362311939754513,13.869907773743,27,0.551020408163265,0,0.430733035275998,7.2,11.6853721269634
"29",29,-15.8614656184911,-15.095021218774,-1.77488655496905,0,0.443799559856309,0.380710135174785,14.6363521734601,28,0.571428571428571,0,0.443799559856309,8.1,11.6340991978513
"30",30,-16.4593972286731,-15.8614656184911,-1.77488655496905,0,0.457692017143863,0.397471092166248,15.2342837836421,29,0.591836734693878,0,0.457692017143863,9.1,11.582839721375
"31",31,-16.9078308430016,-16.4593972286731,-1.77488655496905,0,0.472401888372681,0.4122172689756,15.6827173979707,30,0.612244897959184,0,0.472401888372681,10.4,11.5315996655491
"32",32,-17.2005189903756,-16.9078308430016,-1.77488655496905,0,0.488043601693765,0.424218834843499,15.9754055453447,31,0.63265306122449,0,0.488043601693765,11.4,11.480385142035
"33",33,-17.3859353979233,-17.2005189903756,-1.77488655496905,0,0.504318370035286,0.434092274407725,16.1608219528923,32,0.653061224489796,0,0.504318370035286,12.2,11.4292024217712
"34",34,-17.492218124827,-17.3859353979233,-1.77488655496905,0,0.521055083965336,0.442336665397359,16.267104679796,33,0.673469387755102,0,0.521055083965336,11.3,11.3780579496092
"35",35,-17.6787910249627,-17.492218124827,-1.77488655496905,0,0.537269455753132,0.452094014083173,16.4536775799317,34,0.693877551020408,0,0.537269455753132,8.9,11.326958360672
"36",36,-18.0724076508711,-17.6787910249627,-1.77488655496905,0,0.551823454194383,0.466446330661349,16.8472942058401,35,0.714285714285714,0,0.551823454194383,6,11.2759104939302
"37",37,-18.6821743337521,-18.0724076508711,-1.77488655496905,0,0.563626856721885,0.485676070617567,17.4570608887211,36,0.73469387755102,0,0.563626856721885,4.5,11.2249214103487
"38",38,-19.3408891447697,-18.6821743337521,-1.77488655496905,0,0.57351794485148,0.50668048474016,18.1157756997387,37,0.755102040816326,0,0.57351794485148,4.2,11.1739984059334
"39",39,-19.9375777447103,-19.3408891447697,-1.77488655496905,0,0.582971434134374,0.527916361846084,18.7124642996794,38,0.775510204081633,0,0.582971434134374,5,11.1231490286854
"40",40,-20.4123497837481,-19.9375777447103,-1.77488655496908,0,0.59354793821902,0.548157656300038,19.1872363387172,39,0.795918367346939,0,0.59354793821902,5.8,11.0723810939656
"41",41,-20.7914539119789,-20.4123497837481,-1.77488655496927,0,0.605119897048385,0.567215297936158,19.5663404669482,40,0.816326530612245,0,0.605119897048385,4.5,11.0217026996613
"42",42,-21.1888939490635,-20.7914539119789,-1.77488655496987,0,0.61501098517798,0.587863791094227,19.9637805040334,41,0.836734693877551,0,0.61501098517798,3.2,10.9711222423447
"43",43,-21.5882655368273,-21.1888939490635,-1.77488655497209,0,0.622840719769552,0.609747032632437,20.3631520917994,42,0.857142857142857,0,0.622840719769552,3.2,10.9206484324402
"44",44,-21.9308987225817,-21.5882655368273,-1.77488655498483,0,0.630670454361123,0.631560207043676,20.7057852775665,43,0.877551020408163,0,0.630670454361123,4.7,10.870290309853
"45",45,-22.1814031587459,-21.9308987225817,-1.77488655508663,0,0.640842042561562,0.651680360960724,20.9562897138326,44,0.897959183673469,0,0.640842042561562,5.2,10.8200572592682
"46",46,-22.3888490450824,-22.1814031587459,-1.77488655534904,0,0.651678482340965,0.67102928503718,21.1637356004314,45,0.918367346938776,0,0.651678482340965,4.5,10.7699590254492
"47",47,-22.5884210239587,-22.3888490450824,-1.77488655586715,0,0.66156957047056,0.691202757985279,21.3633075798258,46,0.938775510204082,0,0.66156957047056,5.7,10.7200057280726
"48",48,-22.739557653302,-22.5884210239587,-1.77488655743938,0,0.673023325232409,0.709576414991441,21.5144442107414,47,0.959183673469388,0,0.673023325232409,4.7,10.6702078768942
"49",49,-22.8921583948639,-22.739557653302,-1.77488656045413,0,0.683194913432847,0.729288328620738,21.667044955318,48,0.979591836734694,0,0.683194913432847,3.5,10.6205763858557
"50",50,-23.0448956212843,-22.8921583948639,-1.77488656537968,0,0.691540705841991,0.750347524396792,21.819782186664,49,1,0,0.691540705841991,3,10.5711225877868
"51",51,-23.183260812246,-23.0448956212843,-1.77488657376474,0,0.699011160195025,0.771836184883087,21.9581473860108,50,1,0,0.699011160195025,3.6,10.5218582481146
"52",52,-23.2947205262827,-23.183260812246,-1.77488659170042,0,0.707523182954282,0.792615983888114,22.0696071179831,51,1,0,0.707523182954282,3.8,10.4727955779764
"53",53,-23.3889946125395,-23.2947205262827,-1.7748866291048,0,0.716359414106368,0.813074594940299,22.1638812416443,52,1,0,0.716359414106368,3.8,10.4239472474655
"54",54,-23.4706671040113,-23.3889946125395,-1.77488670494937,0,0.725195645258455,0.833440991287651,22.2455538089607,53,1,0,0.725195645258455,3.8,10.375326398015
"55",55,-23.5414223951991,-23.4706671040113,-1.77488685873879,0,0.734031876410541,0.853714172615113,22.3163092539379,54,1,0,0.734031876410541,4.3,10.3269466539224
"56",56,-23.5995095972862,-23.5414223951991,-1.77488721550418,0,0.743633549870578,0.873237717334107,22.3743968127904,55,1,0,0.743633549870578,4.1,10.2788221334087
"57",57,-23.6513598490507,-23.5995095972862,-1.77488794434788,0,0.752936462226706,0.892930181451913,22.4262477933986,56,1,0,0.752936462226706,4.3,10.230967458619
"58",58,-23.6955198560714,-23.6513598490507,-1.77488956314594,0,0.762538135686743,0.912244033812991,22.4704094192174,57,1,0,0.762538135686743,7.1,10.1833977665504
"59",59,-23.722144759055,-23.6955198560714,-1.7748968486057,0,0.775506925472159,0.926605185192514,22.4970416076608,58,1,0,0.775506925472159,8.7,10.1361287120316
"60",60,-23.7401930358473,-23.722144759055,-1.77492753530362,0,0.789901380529527,0.937628308406673,22.5151205711509,59,1,0,0.789901380529527,5.8,10.089176481896
"61",61,-23.7675961186456,-23.7401930358473,-1.77497394153084,0,0.801473339358891,0.954164918622432,22.5425700601765,60,1,0,0.801473339358891,4.4,10.0425577968359
"62",62,-23.7966174543484,-23.7675961186456,-1.77505467021151,0,0.811220860830023,0.972901403463844,22.5716721245599,61,1,0,0.811220860830023,5.4,9.99628991670079
"63",63,-23.818999336165,-23.7966174543484,-1.77528438804246,0,0.822309639232696,0.989888561332281,22.5942837242075,62,1,0,0.822309639232696,5.7,9.9503906438748
"64",64,-23.837737257513,-23.818999336165,-1.77588740509883,0,0.833763393994545,1.00621201215082,22.6136246626118,63,1,0,0.833763393994545,4.4,9.90487832506498
"65",65,-23.8568988218426,-23.837737257513,-1.77695129919956,0,0.843510915465676,1.02461715826903,22.6338501210422,64,1,0,0.843510915465676,4.6,9.85977185116874
"66",66,-23.8718015871377,-23.8568988218426,-1.77938507775613,0,0.853543342013047,1.04259165480009,22.6511866648939,65,1,0,0.853543342013047,6.1,9.81509065548579
"67",67,-23.8765301374768,-23.8718015871377,-1.78735589284467,0,0.865460053188304,1.05777064136501,22.6638860303215,66,1,0,0.865460053188304,7.2,9.77085471000936
"68",68,-23.8600495041944,-23.8765301374768,-1.81383281432676,0,0.878526577768615,1.07064548378264,22.6738823185212,67,1,0,0.878526577768615,9.3,9.72708451999558
"69",69,-23.7526359435407,-23.8765301374768,-1.9279706115976,0,0.893388776421556,1.07929831919556,22.6806065551383,68,1,0,0.893388776421556,8.7,9.68380111575127
"70",70,-23.5220991478518,-23.8765301374768,-2.16863529174598,0,0.907783231478924,1.08894106386399,22.6907344395978,69,1,0,0.907783231478924,5,9.64102604256736
"71",71,-23.3781345485315,-23.8765301374768,-2.33210208960841,0,0.91835973556357,1.10564996532798,22.7102366381399,70,1,0,0.91835973556357,6.8,9.59878134840065
"72",72,-23.0615037694605,-23.8765301374768,-2.65940028710062,0,0.93102754680424,1.11878484231085,22.7209040565611,71,1,0,0.93102754680424,6.5,9.55708956857522
"73",73,-22.7245776561637,-23.8765301374768,-3.00326467894323,0,0.943382166196431,1.13238793501322,22.7278423351069,72,1,0,0.943382166196431,2.4,9.51597370809979
"74",74,-22.6097434068864,-23.8765301374768,-3.12399493035124,0,0.949694088787012,1.15272322734979,22.7337383372377,73,1,0,0.949694088787012,4.3,9.47545722126961
"75",75,-22.4085172904211,-23.8765301374768,-3.32846549328783,0,0.959295762247049,1.17019544959148,22.7369827837089,74,1,0,0.959295762247049,5.4,9.43556398861938
"76",76,-22.133166566556,-23.8765301374768,-3.60534471978798,0,0.970384540649723,1.1855729789152,22.738511286344,75,1,0,0.970384540649723,5.4,9.39631829029984
"77",77,-21.8556167347024,-23.8765301374768,-3.88363674421192,0,0.981473319052396,1.20083317219673,22.7392534789143,76,1,0,0.981473319052396,5.4,9.35774477733506
"78",78,-21.5770905072675,-23.8765301374768,-4.162514826417,0,0.99256209745507,1.21597753854024,22.7396053336845,77,1,0,0.99256209745507,3.8,9.31986843910482
"79",79,-21.39532228271,-23.8765301374768,-4.34447991566105,0,1.00139832860716,1.23387443593824,22.7398021983711,78,1,0,1.00139832860716,2.8,9.28271456811163
"80",80,-21.2566654878425,-23.8765301374768,-4.48326569647548,0,1.00849653945241,1.25320400176079,22.739931184318,79,1,0,1.00849653945241,0.4,9.24630872143639
"81",81,-21.1849898469751,-23.8765301374768,-4.55510810094404,0,1.00958943562727,1.27516682182811,22.7400979479192,79.9391497400647,1,0,1.00958943562727,-1.4,9.21067667901516
"82",82,-21.1415381850569,-23.8765301374768,-4.59875467268221,0,1.00958943562727,1.27516682182811,22.7402928577391,80.9391497400647,1,0,1.00958943562727,-1.2,9.17584439886941
"83",83,-21.0955958816751,-23.8765301374768,-4.64489221041452,0,1.00958943562727,1.27516682182811,22.7404880920897,81.3425840110046,1,0,1.00958943562727,-0.4,9.14183796962102
"84",84,-21.0381941524727,-23.8765301374768,-4.70248140313572,0,1.00958943562727,1.27516682182811,22.7406755556085,82.1629918541092,1,0,1.00958943562727,-0.3,9.10868355843756
